max_lifespan_h,min_lifespan_h,mean_lifespan_h,max_lifespan_z,min_lifespan_z,mean_lifespan_z,max_resources,min_resources,mean_resources,max_esc_xp,min_esc_xp,mean_esc_xp,max_win_xp,min_win_xp,mean_win_xp,max_love_xp,min_love_xp,mean_love_xp,max_war_xp,min_war_xp,mean_war_xp,max_theft,min_theft,mean_theft,max_zh_kd,min_zh_kd,mean_zh_kd,max_hh_kd,min_hh_kd,mean_hh_kd,max_hz_kd,min_hz_kd,mean_hz_kd,max_z_enc,min_z_enc,mean_z_enc,max_h_enc,min_h_enc,mean_h_enc,days_until_all_zombies,humans,zombies,full_dead
10,0,2.4615384615384617,12,1,3.3846153846153846,11.75,0.0,4.700620993589744,1,0,0.1282051282051282,1,0,0.1282051282051282,11,0,2.4358974358974357,2,0,0.07692307692307693,2,0,0.15384615384615385,1,0,0.1282051282051282,2,0,0.07692307692307693,4,0,0.6410256410256411,4,0,0.6666666666666666,6,0,1.2564102564102564,11,0,39,0
28,24,26.0,10,6,8.0,0.0,0.0,0.0,0,0,0.0,2,1,1.5,11,0,5.5,0,0,0.0,0,0,0.0,2,1,1.5,0,0,0.0,0,0,0.0,2,1,1.5,5,0,2.5,29,0,2,0
16,8,12.333333333333334,9,2,6.166666666666667,0.0,-0.259765625,-0.043294270833333336,0,0,0.0,2,0,0.5,28,0,9.5,0,0,0.0,0,0,0.0,2,0,0.5,0,0,0.0,0,0,0.0,2,0,0.6666666666666666,14,0,4.833333333333333,17,0,6,0
21,4,13.0,9,1,4.25,5.92578125,0.0,2.255859375,1,0,0.25,1,0,0.5,15,1,9.5,0,0,0.0,1,0,0.5,1,0,0.5,0,0,0.0,3,0,1.0,4,0,1.25,6,1,4.0,22,0,4,0
19,11,13.428571428571429,9,1,3.857142857142857,16.25,0.0,2.770497594560896,0,0,0.0,3,0,0.8571428571428571,21,1,12.285714285714286,1,0,0.14285714285714285,1,0,0.42857142857142855,3,0,0.8571428571428571,1,0,0.14285714285714285,0,0,0.0,4,0,1.1428571428571428,10,1,6.142857142857143,20,0,7,0
84,84,84.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,7,7,7.0,4,4,4.0,0,0,0.0,0,0,0.0,7,7,7.0,0,0,0.0,0,0,0.0,7,7,7.0,1,1,1.0,85,0,1,0
12,0,2.6,10,1,2.65,18.40625,0.0,5.9625,1,0,0.05,1,0,0.1,4,0,0.95,2,0,0.35,1,0,0.05,1,0,0.1,2,0,0.35,3,0,1.0,2,0,0.35,3,0,0.85,13,0,20,0
25,20,22.0,10,5,7.0,0.0,0.0,0.0,0,0,0.0,4,1,2.3333333333333335,18,4,11.666666666666666,0,0,0.0,0,0,0.0,4,1,2.3333333333333335,0,0,0.0,0,0,0.0,4,1,2.3333333333333335,9,3,6.0,26,0,3,0
26,17,21.0,10,1,4.666666666666667,9.5,0.0,3.1666666666666665,0,0,0.0,2,1,1.3333333333333333,16,1,9.666666666666666,2,0,0.6666666666666666,1,0,0.3333333333333333,2,1,1.3333333333333333,2,0,0.6666666666666666,0,0,0.0,2,1,1.6666666666666667,7,2,5.0,27,0,3,0
33,33,33.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,3,3,3.0,4,4,4.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,3,3,3.0,2,2,2.0,34,0,1,0
16,0,8.928571428571429,10,1,4.428571428571429,3.12890625,0.0,0.4779575892857143,1,0,0.07142857142857142,0,0,0.0,22,0,6.785714285714286,0,0,0.0,2,0,0.35714285714285715,0,0,0.0,0,0,0.0,3,0,0.6428571428571429,2,0,0.21428571428571427,11,0,3.357142857142857,17,0,14,0
13,0,4.37037037037037,10,1,3.259259259259259,17.5,0.0,3.233868634259259,0,0,0.0,1,0,0.037037037037037035,17,0,4.777777777777778,2,0,0.07407407407407407,0,0,0.0,1,0,0.037037037037037035,2,0,0.07407407407407407,3,0,0.9259259259259259,2,0,0.25925925925925924,11,0,2.4444444444444446,14,0,27,0
12,0,5.695652173913044,9,1,4.6521739130434785,19.5,0.0,3.620923913043478,0,0,0.0,1,0,0.17391304347826086,12,0,4.086956521739131,2,0,0.08695652173913043,1,0,0.08695652173913043,1,0,0.17391304347826086,2,0,0.08695652173913043,3,0,0.5652173913043478,2,0,0.43478260869565216,7,0,2.0869565217391304,13,0,23,0
18,0,12.428571428571429,10,1,6.0,0.0,0.0,0.0,1,0,0.14285714285714285,0,0,0.0,32,0,18.857142857142858,0,0,0.0,1,0,0.2857142857142857,0,0,0.0,0,0,0.0,4,0,0.5714285714285714,2,0,0.2857142857142857,17,0,9.428571428571429,19,0,7,0
30,30,30.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,31,0,1,0
13,0,5.387096774193548,10,1,4.935483870967742,10.5,0.0,3.4085446019326486,1,0,0.0967741935483871,2,0,0.16129032258064516,19,0,5.774193548387097,1,0,0.0967741935483871,2,0,0.16129032258064516,2,0,0.16129032258064516,1,0,0.0967741935483871,3,0,0.8064516129032258,3,0,0.5806451612903226,11,0,3.0,13,0,31,0
60,60,60.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,61,0,1,0
14,0,6.2592592592592595,10,1,3.4074074074074074,9.0,-0.11328125,2.6100983796296298,1,0,0.1111111111111111,2,0,0.1111111111111111,13,0,5.296296296296297,1,0,0.037037037037037035,2,0,0.14814814814814814,2,0,0.1111111111111111,1,0,0.037037037037037035,3,0,0.6666666666666666,4,0,0.5555555555555556,7,0,2.814814814814815,15,0,27,0
28,28,28.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,3,3,3.0,6,6,6.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,3,3,3.0,4,4,4.0,29,0,1,0
12,0,3.125,10,1,3.6875,15.75,-0.19782638549804688,3.796875,1,0,0.15625,1,0,0.0625,17,0,3.34375,2,0,0.09375,2,0,0.375,1,0,0.0625,2,0,0.09375,3,0,0.84375,4,0,0.46875,8,0,1.78125,12,0,32,0
12,0,5.68,10,1,4.64,10.0,-0.30535888671875,2.465242830514908,2,0,0.1,0,0,0.0,26,0,8.12,0,0,0.0,3,0,0.18,0,0,0.0,0,0,0.0,2,0,0.62,4,0,0.44,13,0,4.06,13,0,50,0
37,37,37.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,3,3,3.0,12,12,12.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,3,3,3.0,6,6,6.0,38,0,1,0
18,0,8.846153846153847,10,1,2.923076923076923,11.5,0.0,1.8629807692307692,2,0,0.38461538461538464,3,0,0.46153846153846156,24,0,7.153846153846154,0,0,0.0,1,0,0.46153846153846156,3,0,0.46153846153846156,0,0,0.0,3,0,0.5384615384615384,4,0,1.2307692307692308,12,0,3.4615384615384617,18,0,13,0
15,1,6.421052631578948,10,1,2.6315789473684212,10.976048082113266,0.0,3.0259615096606707,2,0,0.3684210526315789,1,0,0.21052631578947367,26,0,7.0,1,0,0.05263157894736842,1,0,0.21052631578947367,1,0,0.21052631578947367,1,0,0.05263157894736842,3,0,0.631578947368421,4,0,1.0526315789473684,13,0,3.5789473684210527,16,0,19,0
13,0,6.95,10,1,5.05,13.0,0.0,3.1448287963867188,1,0,0.1,1,0,0.1,18,0,5.95,2,0,0.25,1,0,0.3,1,0,0.1,2,0,0.25,2,0,0.6,3,0,0.4,8,0,3.15,14,0,20,0
32,32,32.0,10,10,10.0,0.0,0.0,0.0,1,1,1.0,3,3,3.0,14,14,14.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,5,5,5.0,7,7,7.0,33,0,1,0
52,52,52.0,10,10,10.0,0.0,0.0,0.0,1,1,1.0,3,3,3.0,8,8,8.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,5,5,5.0,3,3,3.0,53,0,1,0
67,67,67.0,10,10,10.0,0.0,0.0,0.0,1,1,1.0,4,4,4.0,0,0,0.0,2,2,2.0,0,0,0.0,4,4,4.0,2,2,2.0,0,0,0.0,6,6,6.0,2,2,2.0,68,0,1,0
11,0,4.242424242424242,10,1,4.181818181818182,13.0,0.0,2.9632457386363638,2,0,0.18181818181818182,1,0,0.18181818181818182,15,0,3.515151515151515,2,0,0.15151515151515152,1,0,0.12121212121212122,1,0,0.18181818181818182,2,0,0.15151515151515152,3,0,0.6060606060606061,6,0,0.8484848484848485,8,0,1.9696969696969697,12,0,33,0
14,0,8.833333333333334,10,1,5.416666666666667,20.5,-0.04323684720975507,2.494102940336878,6,0,0.4166666666666667,2,0,0.16666666666666666,28,0,11.0,2,0,0.125,2,0,0.25,2,0,0.16666666666666666,2,0,0.125,2,0,0.4166666666666667,12,0,1.2083333333333333,15,0,5.625,15,0,24,0
23,14,19.25,10,1,6.25,0.0,0.0,0.0,0,0,0.0,2,0,0.5,11,0,5.5,0,0,0.0,1,0,0.25,2,0,0.5,0,0,0.0,0,0,0.0,2,0,0.5,6,0,2.75,24,0,4,0
52,52,52.0,10,10,10.0,0.0,0.0,0.0,2,2,2.0,4,4,4.0,7,7,7.0,0,0,0.0,0,0,0.0,4,4,4.0,0,0,0.0,0,0,0.0,8,8,8.0,3,3,3.0,53,0,1,0
17,4,10.76923076923077,9,1,4.153846153846154,8.489501953125,-0.43414306640625,2.1245445838341346,1,0,0.23076923076923078,2,0,0.3076923076923077,20,2,10.307692307692308,0,0,0.0,2,0,0.23076923076923078,2,0,0.3076923076923077,0,0,0.0,2,0,0.3076923076923077,3,0,0.8461538461538461,9,1,5.076923076923077,18,0,13,0
19,12,15.5,10,3,6.5,0.0,0.0,0.0,0,0,0.0,3,0,1.5,11,4,7.5,0,0,0.0,0,0,0.0,3,0,1.5,0,0,0.0,0,0,0.0,3,0,1.5,7,2,4.5,20,0,2,0
36,30,33.25,10,4,7.25,0.0,0.0,0.0,0,0,0.0,2,0,1.0,31,8,16.25,0,0,0.0,1,0,0.25,2,0,1.0,0,0,0.0,0,0,0.0,2,0,1.0,18,3,8.5,37,0,4,0
18,7,11.0,10,1,3.5384615384615383,14.822063446044922,0.0,2.5936156864534423,1,0,0.07692307692307693,4,0,0.38461538461538464,35,0,16.307692307692307,1,0,0.07692307692307693,1,0,0.3076923076923077,4,0,0.38461538461538464,1,0,0.07692307692307693,1,0,0.38461538461538464,5,0,0.9230769230769231,17,1,8.23076923076923,19,0,13,0
36,36,36.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,2,2,2.0,0,0,0.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,1.0,1,1,1.0,37,0,1,0
14,0,5.9375,10,1,3.5,19.25,0.0,3.2639007568359375,2,0,0.25,1,0,0.0625,17,0,4.6875,0,0,0.0,2,0,0.125,1,0,0.0625,0,0,0.0,2,0,0.8125,5,0,0.9375,9,0,2.3125,15,0,16,0
14,0,5.842105263157895,10,1,2.736842105263158,13.0,0.0,4.370888157894737,2,0,0.15789473684210525,2,0,0.21052631578947367,10,0,2.736842105263158,1,0,0.05263157894736842,1,0,0.2631578947368421,2,0,0.21052631578947367,1,0,0.05263157894736842,3,0,0.5789473684210527,5,0,0.8421052631578947,6,0,1.368421052631579,15,0,19,0
14,0,6.25,9,1,4.333333333333333,4.0,-0.00787353515625,0.6831817626953125,1,0,0.08333333333333333,2,0,0.25,19,0,4.583333333333333,0,0,0.0,2,0,0.25,2,0,0.25,0,0,0.0,3,0,0.9166666666666666,4,0,0.5833333333333334,12,0,2.5,15,0,12,0
17,2,11.25,10,1,5.75,5.51953125,-0.3046875,0.7691278457641602,1,0,0.1875,1,0,0.125,22,0,9.4375,1,0,0.125,1,0,0.125,1,0,0.125,1,0,0.125,4,0,0.6875,3,0,0.6875,12,0,4.75,18,0,16,0
30,30,30.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,5,5,5.0,4,4,4.0,0,0,0.0,0,0,0.0,5,5,5.0,0,0,0.0,0,0,0.0,5,5,5.0,1,1,1.0,31,0,1,0
42,42,42.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,43,0,1,0
13,0,6.5,10,1,5.15,8.5,-0.13744254410266876,2.195129610225558,1,0,0.15,2,0,0.2,40,0,11.3,2,0,0.15,1,0,0.3,2,0,0.2,2,0,0.15,4,0,0.8,3,0,0.7,23,0,5.7,14,0,20,0
11,0,5.75,12,1,5.825,15.5,-0.3364155362942256,2.341675808079162,2,0,0.15,1,0,0.15,39,0,10.85,2,0,0.125,2,0,0.15,1,0,0.15,2,0,0.125,3,0,0.625,5,0,0.6,19,0,5.575,12,0,40,0
56,56,56.0,10,10,10.0,0.0,0.0,0.0,0,0,0.0,3,3,3.0,1,1,1.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,0,0,0.0,3,3,3.0,0,0,0.0,57,0,1,0
75,75,75.0,10,10,10.0,0.0,0.0,0.0,1,1,1.0,5,5,5.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,5.0,0,0,0.0,0,0,0.0,7,7,7.0,0,0,0.0,76,0,1,0
16,0,8.642857142857142,10,1,5.5,9.55078125,0.0,2.775111607142857,1,0,0.14285714285714285,2,0,0.21428571428571427,25,0,11.071428571428571,0,0,0.0,1,0,0.07142857142857142,2,0,0.21428571428571427,0,0,0.0,3,0,0.8571428571428571,4,0,0.6428571428571429,14,0,5.428571428571429,16,0,14,0
25,25,25.0,10,10,10.0,0.0,0.0,0.0,4,4,4.0,1,1,1.0,0,0,0.0,2,2,2.0,0,0,0.0,1,1,1.0,2,2,2.0,0,0,0.0,9,9,9.0,2,2,2.0,26,0,1,0
